iter	Passed	Remaining
276	2824	1254
277	2832	1243
278	2840	1231
279	2848	1220
280	2855	1209
281	2863	1198
282	2871	1187
283	2879	1176
284	2887	1165
285	2895	1154
286	2903	1143
287	2911	1132
288	2920	1121
289	2929	1111
290	2938	1100
291	2947	1090
292	2956	1079
293	2965	1069
294	2974	1058
295	2982	1047
296	2990	1037
297	2998	1026
298	3007	1015
299	3015	1005
300	3023	994
301	3032	983
302	3039	973
303	3048	962
304	3057	952
305	3065	941
306	3074	931
307	3082	920
308	3091	910
309	3100	900
310	3110	890
311	3118	879
312	3128	869
313	3137	859
314	3147	849
315	3157	839
316	3166	829
317	3175	818
318	3185	808
319	3194	798
320	3202	788
321	3212	778
322	3222	768
323	3230	757
324	3239	747
325	3247	737
326	3256	726
327	3264	716
328	3273	706
329	3281	696
330	3292	686
331	3304	676
332	3318	667
333	3337	659
334	3342	648
335	3361	640
336	3386	633
337	3403	624
338	3414	614
339	3442	607
340	3493	604
341	3518	596
342	3535	587
343	3549	577
344	3573	569
345	3586	559
346	3599	549
347	3615	540
348	3629	530
349	3638	519
350	3649	509
351	3661	499
352	3674	489
353	3686	479
354	3696	468
355	3707	458
356	3718	447
357	3724	436
358	3737	426
359	3748	416
360	3758	406
361	3767	395
362	3777	385
363	3786	374
364	3795	363
365	3805	353
366	3814	342
367	3823	332
368	3832	321
369	3841	311
370	3849	300
371	3857	290
372	3859	279
373	3867	268
374	3876	258
375	3884	247
376	3891	237
377	3899	226
378	3907	216
379	3914	206
380	3917	195
381	3924	184
382	3931	174
383	3940	164
384	3947	153
385	3955	143
386	3963	133
387	3971	122
388	3979	112
389	3987	102
390	3995	91
391	4003	81
392	4011	71
393	4019	61
394	4023	50
395	4032	40
396	4041	30
397	4048	20
398	4057	10
399	4065	0
